method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
beagle,25%, 30%~40%,1014561.0,0.8000490389738054,0.8620568271060686,0.7480117103197478,0.74825904905049,0.7481286386287702,0.0004500432115101343,0.0002871300656305252,0.0005618877644053462,0.0005597540911421636,0.0005599344041895292
beagle,25%, 40%~50%,934350.0,0.7822802028958716,0.8452777800660805,0.7477893680172407,0.7481470611829669,0.7479615717077749,0.00045912255227187733,0.00031963805504733336,0.0005316251836005309,0.0005282788966634179,0.0005286472483071723
beagle,25%, Overall,8502275.0,0.8927036168483604,0.9132316226993202,0.7483945903628003,0.7481671798362067,0.7482773312671726,0.00029399985302209537,0.00022434614537986507,0.0006834908051984489,0.0006812199049234958,0.0006822411766310481
scda,5%, 0.1%~0.5%,314228.0,0.9876074109091219,0.7340940002493106,0.8150168493207591,0.96971571261323,0.8821678241419968,1.8817944549015344e-05,0.00023275407271107894,0.00021457285808158452,3.346833265865045e-05,0.0001407298932253973
scda,5%, 0.5%~1%,341641.0,0.9875679574332547,0.7930757753156433,0.8485059737794303,0.9695698216881895,0.9029171733408852,1.122835000313747e-05,0.0002283885406943987,0.00012107785939135871,1.2308319915502894e-05,6.770790456583055e-05
scda,5%, 1%~10%,3101005.0,0.9858592251104517,0.9031253899561209,0.934162829119638,0.9711516044526217,0.9520414715144038,9.529289847654699e-06,7.09798887523095e-05,4.078170364957743e-05,9.321764001777086e-06,2.6227302567834843e-05
scda,5%, 10%~20%,1631602.0,0.9767299952049359,0.9264701359326933,0.9674084501379226,0.9613323885416891,0.964340390655564,5.636306124593889e-06,3.7694653162363e-05,1.2983114691964692e-05,1.8099325403967484e-06,5.716499164673709e-06
scda,5%, 20%~30%,1164888.0,0.969833131831324,0.9196084333385665,0.9715624867269458,0.9600013552595996,0.9656041560180689,3.066278716582617e-07,4.1071483487787675e-05,1.7599610397096498e-06,4.9435720618961945e-06,3.4547967053322344e-06
scda,5%, 30%~40%,1014561.0,0.9688441004473258,0.9153237324015707,0.9718351919097442,0.9647191626819884,0.9680509313007525,8.471354754838082e-06,1.886385900573529e-05,1.0566747432078327e-05,1.1646328677969437e-05,1.1048479984129369e-05
scda,5%, 40%~50%,934350.0,0.9688653431083999,0.913507419870118,0.9710145574358177,0.9669909982523976,0.9687127304887979,6.109060075874355e-06,6.239488100187826e-05,3.112673096727819e-06,7.915090364644964e-06,5.438301979196536e-06
scda,5%, Overall,8502275.0,0.9781469496176736,0.9276880597670466,0.9685723921452224,0.9639819727573068,0.9662595866824474,5.101190628250528e-06,2.137110903445624e-05,9.018073817859663e-06,6.737869001108693e-06,7.62947322412137e-06
scda,15%, 0.1%~0.5%,314228.0,0.9616183442942994,0.4310818476925092,0.6207162615710774,0.944942871122358,0.7299760637207299,1.230500280521343e-05,0.00036858676328053444,7.006295272452268e-05,6.199227082487118e-05,6.25573402142519e-05
scda,15%, 0.5%~1%,341641.0,0.9618189499468385,0.5095316217765878,0.6698124171230747,0.9412411471963126,0.7692829995086141,9.757561239891077e-06,0.00012057980412720751,7.004974524742178e-05,1.0930890934065555e-05,6.435420246639958e-05
scda,15%, 1%~10%,3101005.0,0.9553278279822578,0.7064340707389177,0.8353964064988393,0.9039396062541813,0.8672529055508506,4.999052949485706e-06,0.00011826067348808791,1.2853871861967622e-05,3.527059670188268e-05,1.3527705323130128e-05
scda,15%, 10%~20%,1631602.0,0.9358566973385108,0.7807731933897716,0.9246368461520001,0.8983827607210232,0.9110608849599698,1.528047430690988e-05,9.314810796596166e-05,5.5537724202184583e-05,2.559778578704547e-05,3.9211480450048284e-05
scda,15%, 20%~30%,1164888.0,0.9233960559714625,0.7781853615182251,0.9367689555961337,0.9027836595759221,0.9183225121150477,2.3398935222139882e-05,0.00010052254006833708,3.0258760799321085e-05,1.4993747695739218e-05,2.1396376563943635e-05
scda,15%, 30%~40%,1014561.0,0.9173102350612131,0.7649228416488074,0.9349305108121172,0.9076492482638954,0.9188197358144653,1.5312293737798243e-05,7.588233745122778e-05,1.6634011224537627e-05,1.3447600934331115e-05,1.5180799582170101e-05
scda,15%, 40%~50%,934350.0,0.914885717019286,0.7540789661498676,0.9305218450106141,0.9107075136819356,0.9172596848384694,4.0003540935807726e-05,9.401686542375486e-05,3.184988177488128e-05,4.1380423419553454e-05,3.9511659938037934e-05
scda,15%, Overall,8502275.0,0.9387287368630304,0.7833359581791889,0.924915179967893,0.9039438142398719,0.9141465060197985,2.0767112629734064e-06,4.899596856557074e-05,9.646540998678168e-06,5.790884473506377e-06,7.303573432715482e-06
scda,25%, 0.1%~0.5%,314228.0,0.9419876939385068,0.30506611758952135,0.5408505073179196,0.9164566270944404,0.6493969240680695,5.5666255070978565e-05,0.00042429208555170135,0.00018609977555516464,0.00033761426428721963,0.00023116019916303971
scda,25%, 0.5%~1%,341641.0,0.9419929372964869,0.3705835400617332,0.5860851761341059,0.9042355808785819,0.68917039342559,1.9658555797796926e-05,0.0003503900472403648,0.00016234332342917327,0.0006681243619674994,0.0002748843840217521
scda,25%, 1%~10%,3101005.0,0.9317991215262421,0.5738757024899398,0.7678130054604156,0.8486602422380708,0.8044691210928145,6.643660057266278e-06,8.084558635573698e-05,7.051813965260267e-06,5.1421290599903666e-05,1.4435480935047695e-05
scda,25%, 10%~20%,1631602.0,0.9041193498132137,0.6748649289693311,0.8903192319239507,0.8488944108049868,0.8684268380696553,3.658417913535418e-05,0.0002070434373349202,7.146736021169805e-05,3.055179429451126e-05,4.9122001518604315e-05
scda,25%, 20%~30%,1164888.0,0.8852110870120327,0.6728014655195867,0.9086694801523502,0.854972140605907,0.878261900156215,2.6903465962306642e-05,0.0002334240557415797,3.097794063951144e-05,2.633325845792494e-05,1.560466923259446e-05
scda,25%, 30%~40%,1014561.0,0.8748560617933184,0.6557376737923507,0.9070517930704335,0.8605767183574268,0.8778645599215683,1.4263937219565314e-05,0.00011371093462475044,7.410234473340682e-06,1.3304534780312383e-05,1.1350318874853539e-05
scda,25%, 40%~50%,934350.0,0.8712424209992037,0.6442471740721606,0.9021740529053188,0.8652015677014683,0.875954037732331,5.2790644236504294e-05,8.605021280057845e-05,4.6996637946337434e-05,5.684969152796506e-05,5.3858204827705346e-05
scda,25%, Overall,8502275.0,0.9074407687496832,0.6757118699730332,0.8897802335771567,0.8550393392987966,0.8715910981076495,6.300580514031956e-06,4.486776823492433e-05,1.1859423874855401e-05,2.163547579992453e-05,6.181997773994917e-06
