method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
beagle,5%, 1%~10%,6242570.0,0.9708080827577811,0.931780749800524,0.7500278808220151,0.749893532251524,0.749959145238042,5.63291602499055e-05,0.00012663865606043494,0.00048102879041389,0.00047964745232927694,0.00048028032003313387
beagle,5%, 10%~20%,1353480.0,0.8830555496561031,0.9047675729230553,0.7501271682860784,0.7501008731420772,0.7501131197387481,0.00023751977357213915,0.00018808939231002445,0.0005078785006449312,0.0005068248807038678,0.0005071799544589453
beagle,5%, 20%~30%,879876.0,0.8251674718930465,0.8782610500430533,0.7501145031359256,0.7501364424173569,0.7501245352083935,0.00025542982308766855,0.00017004905898637234,0.0003643089844649034,0.0003644605565417098,0.000364409561092686
beagle,5%, 30%~40%,686102.0,0.7863841918452495,0.8500452973825062,0.750117521173285,0.7501697342321864,0.7501427963637531,0.00021880573258941651,0.0001423924434434682,0.0002551014741887942,0.00025523342827981976,0.0002552627695490382
beagle,5%, 40%~50%,609106.0,0.7673690124682597,0.830826244381071,0.7501382546211115,0.7502074715421717,0.7501716770395165,0.00016061411242446682,0.0001126501289091791,0.00017179273912460366,0.00017120628225264487,0.00017168846578369422
beagle,5%, Overall,17365621.0,0.9526642269195537,0.9256515463733477,0.7501580968951943,0.7501403423645651,0.7501488908666939,7.161408053943226e-05,0.00010411705584455429,0.00036096169230610483,0.0003604782391231601,0.000360693601415266
beagle,15%, 0.1%~0.5%,4579678.0,0.9960772060656123,0.9210983021250306,0.7484258533294273,0.7487136956948617,0.7485640353371054,9.814718252264184e-06,0.0001719048531044053,0.0006309126657948208,0.0006288665093606843,0.0006315341567468821
beagle,15%, 0.5%~1%,3014809.0,0.9926418028686523,0.9304596693764985,0.7487984517547274,0.7476198663879595,0.7482034901826206,1.5252168808468759e-05,0.00012597689954575353,0.0005392625054818405,0.0005378979672268721,0.0005386194548021889
beagle,15%, 1%~10%,6242570.0,0.9705546247422028,0.929718875651627,0.7493535527672813,0.7486577285545656,0.7490028912793966,6.503882445362207e-05,0.00014760429091359998,0.0005670208504807534,0.0005663437561076128,0.0005669746644696702
beagle,15%, 10%~20%,1353480.0,0.8824501338014539,0.9033336978693663,0.7492062817743514,0.7491069667991184,0.7491551123879905,0.0002481339014359119,0.00019812692802754654,0.0005337763503172359,0.0005342071645344572,0.0005335423002815965
