Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_IQS,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_IQS,Overall_Precision,Overall_Recall,Overall_F1
5,1KG,64,4,0.05,40%~50%,6780,0.959405,0.882131,0.933928,0.964362,0.953179,0.95434,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.05,>=50%,1260,0.951556,0.856904,0.92164,0.950353,0.952377,0.945849,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.15,0.5%~1%,25079,0.993708,0.902099,0.807221,0.88453,0.904858,0.8909,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,1%~10%,44351,0.983807,0.817632,0.880405,0.95041,0.902439,0.918167,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,10%~20%,17825,0.959611,0.816227,0.893931,0.940961,0.900287,0.91367,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,20%~30%,11696,0.937247,0.788756,0.878463,0.946968,0.897527,0.911995,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,30%~40%,9348,0.918726,0.757172,0.861205,0.942051,0.896982,0.908659,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,40%~50%,6780,0.901163,0.719089,0.841146,0.919799,0.896283,0.895457,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.15,>=50%,1260,0.88587,0.674178,0.820131,0.892037,0.895681,0.876732,0.966447,0.817085,0.900486,0.962429,0.895281,0.92625
5,1KG,64,4,0.25,0.5%~1%,25079,0.987124,0.765963,0.671412,0.804789,0.844912,0.816393,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,1%~10%,44351,0.971997,0.69289,0.793698,0.911547,0.847921,0.866438,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,10%~20%,17825,0.933263,0.700191,0.820152,0.909762,0.844406,0.864579,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,20%~30%,11696,0.897646,0.667665,0.798784,0.917437,0.839469,0.860541,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,30%~40%,9348,0.868079,0.628963,0.77426,0.911725,0.838272,0.854154,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,40%~50%,6780,0.84229,0.584642,0.74924,0.884434,0.839044,0.836821,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.25,>=50%,1260,0.82244,0.534344,0.725845,0.85244,0.839265,0.813083,0.94432,0.698067,0.83008,0.938608,0.83695,0.881385
5,1KG,64,4,0.5,0.5%~1%,25079,0.957194,0.353324,0.350515,0.602679,0.671949,0.617102,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,1%~10%,44351,0.929527,0.361158,0.526519,0.743818,0.678048,0.688213,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,10%~20%,17825,0.858888,0.405271,0.602998,0.788292,0.691365,0.709729,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,20%~30%,11696,0.793372,0.388882,0.581286,0.814013,0.692249,0.711606,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,30%~40%,9348,0.739254,0.362207,0.552137,0.829684,0.69228,0.705159,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,40%~50%,6780,0.693036,0.326449,0.523441,0.809247,0.693459,0.682528,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
5,1KG,64,4,0.5,>=50%,1260,0.653143,0.283854,0.491272,0.777004,0.690414,0.649337,0.878916,0.368728,0.611817,0.802182,0.68887,0.733202
